label,C ,C#,D ,D#,E ,F ,F#,G ,G#,A ,A#,B 
A dim,2.387298813018545,1.6284628592084147,1.151905798578264,1.717100178242399,1.4688512934531048,0.6827455044754536,0.36907336803903545,0.671746053338562,2.2625244795649118,4.0,2.2198386215303465,1.2841128174643002
A dim,2.198949738744462,1.7942878536388347,1.537506632157008,1.725344098827276,1.305646675236909,0.7090899821020765,0.44749038799197705,0.7766763334489246,2.281596443244232,4.0,2.448478295381703,1.515949967702373
A dim,2.862460868419038,1.680511270498518,1.2333111104974954,2.1079704145462768,1.6522980511328638,0.9876698746901844,0.8182429228305358,1.4249109211024933,2.648107451839192,4.0,2.564453253166328,1.5049656492980947
A dim,3.018725120397816,1.7674477780973499,1.2542333095530585,2.3260378862194564,1.9583559892964655,0.9631835328473957,0.7126111959513303,1.2158183494286932,2.563197796781319,4.0,2.37172635892081,1.6873523262573225
A dim,3.0560014638424313,1.74395283194849,1.2004189798868568,2.4593529221900736,2.130091221808282,0.8852309080038732,0.5938550381184201,1.0235813886531535,2.5351488529184527,4.0,2.288538675308308,1.5874733540130552
A dim,3.053779608299527,1.7403986928121857,1.1403016062506162,2.495016926288844,2.1970937218727307,0.8302770027296782,0.5398427162451034,0.9136679124955929,2.474693419529453,4.0,2.2716005488961097,1.4676373183487095
A dim,3.172495061802449,1.8113755159844986,1.2140757016949286,2.4848264331322243,2.0495228139907073,0.7720711019157969,0.4622455368753151,0.8236203274272194,2.4432169146253155,4.0,2.1846820818325035,1.5866907682413651
A dim,3.265614276489103,1.8802167540730021,1.2355798414826689,2.4331056372319697,1.964741417008986,0.7736589024791432,0.4309390864404999,0.7971203579868118,2.454870336743808,4.0,2.186732475305492,1.6155432154590603
A dim,3.277713811524872,1.894556833963882,1.2273757507440084,2.4711321512381104,1.973707795480184,0.7661347836841745,0.44010272536435224,0.8030895347379347,2.4259470404557733,4.0,2.27572154694422,1.524042748796882
A dim,3.3799844543063453,1.9433975736167506,1.2711342366277356,2.623848252989725,2.1406071577570307,0.7970829405571258,0.4511506229373429,0.8375672526668048,2.463740795911884,4.0,2.207795530533671,1.6739038956153833
A dim,3.5110451649538943,2.047447392151316,1.300109145411235,2.7949742065972445,2.3515144566073096,0.8251331840882299,0.4831073604892804,0.8819423096952311,2.489118346140265,4.0,2.141183512940616,1.7099391243460729
A dim,3.4679041896555334,1.9956014634563635,1.318568043834829,2.7158516589833503,2.197137571505752,0.8232466746810633,0.49842964676736,0.9128040026870246,2.4295003140568543,4.0,2.2283132874833473,1.6355087654389664
A dim,3.577174916552904,2.080617710157144,1.359339716538847,2.6500537169790075,2.145643951205951,0.8552394193067354,0.5377149623286956,0.9511285673355143,2.424094631749972,4.0,2.2045788729772315,1.8088606177399371
A dim,3.7086149795674728,2.2138295087897966,1.442198804301239,2.6873696348709046,2.276234149939526,0.9432302895053215,0.5934104461100413,1.0118675946567182,2.3959204222587216,4.0,2.170642370483521,1.8959916453885899
A dim,3.6414756380489037,2.168704788120139,1.3516393878972566,2.523764891028475,2.5251642039331554,1.1108456835425387,0.7246299025647385,1.1160865575719447,2.3278232521960596,4.0,2.4480311011404945,2.0002708884434366
A dim,3.617440271985115,2.177501540782301,1.3297197531114384,2.34871033593402,2.885828562483605,1.4980375368156218,0.9970267717651239,1.1615311655141762,2.431377323421959,4.0,2.485292280477373,2.2257137061518213
A dim,2.8896668858989147,2.221349624075743,2.2405721845100404,2.0430767162512646,1.6087146680719757,1.1168982625064745,1.09771578393854,1.4789763736862818,3.1314231319144246,3.3822326837901597,2.684687689946187,2.7264220195474347
A dim,3.1881835561169387,2.003554375080872,1.7354067680544047,2.21360893342584,1.5242759222781483,0.7295308902936769,0.7347104628278132,1.02630763326033,2.883003859399861,3.9886234968108996,2.5465306366422054,2.074268107698841
A dim,2.8895176895755066,1.6722160529833343,1.42188962896138,2.2284056641121666,1.4070502307749633,0.42279745020333537,0.44169410770218437,0.5976987228681526,2.4327680110033985,4.0,2.216030849565647,1.6000971828301527
A dim,2.766654758325572,1.5536977374238612,1.389098317593773,2.285639248675402,1.3656690726277678,0.31312208364357,0.31752913401973004,0.4525649086403158,2.29117855549761,4.0,2.160650415681023,1.4975296703389067
A dim,2.7143716235032347,1.5116885483999702,1.3432494472208079,2.2853507937631177,1.3168649900605758,0.2760895821706261,0.274163678011709,0.3888901019106633,2.234532328396896,4.0,2.1400233216863747,1.4467031375698747
A dim,2.694944753702999,1.5005901615474284,1.3528704484509908,2.274533830510398,1.2940634644184366,0.24897732908228373,0.2442368491439765,0.34487940893016944,2.198461619470901,4.0,2.1455706527336815,1.4507928462087505
A dim,2.696305424966523,1.51086832361026,1.3241586603499287,2.288884886925219,1.2932091466557352,0.23561857301580105,0.21895460780202336,0.32448664341363953,2.1917606112383874,4.0,2.1408724659132177,1.4295728664160905
A dim,2.7012715655024606,1.5277716442104992,1.336926831258611,2.3186170756433704,1.320120616547669,0.22501670499646995,0.2070704364170523,0.30900702465476154,2.2003705169865064,4.0,2.123744256150849,1.4233836478572526
A dim,2.714405509147012,1.5449849588153886,1.3428706354928877,2.3327524331387757,1.3222219691326078,0.21993562177444104,0.2200502607611773,0.31239083494456465,2.2075132508588533,4.0,2.1438006207289373,1.4347362615286428
A dim,2.7279562786677856,1.5612269001854244,1.3637797113404302,2.3474414370467387,1.329590907481887,0.222095693956776,0.24196458316603395,0.3414684280347888,2.243016479044515,4.0,2.145208400727225,1.427304193677914
A dim,2.7911685289339516,1.6056874625177657,1.4331021194081819,2.3638200667340135,1.3573342352983206,0.251660716620424,0.2755269457716257,0.393363354205126,2.307276749750685,4.0,2.136029839410737,1.4468400298689734
A dim,2.8467564779226304,1.6584823647643023,1.4642999646525594,2.3644800613842456,1.375768340178905,0.32304423253297987,0.3441067800371405,0.4975788975268619,2.378151182354025,4.0,2.0662977238561946,1.538644512619101
A dim,2.859338120399782,1.783396633972993,1.5982187526478524,2.28710871784852,1.2930133669947999,0.44473385811175953,0.43332921883174824,0.6263930995693692,2.48809570349487,4.0,2.05201631115614,1.5867655847641247
A dim,2.7994988672874945,1.8882194546813917,1.8305342991307691,2.1591558356253286,1.115050719156348,0.5630428925950327,0.5343157102799103,0.7661591560709127,2.5592124062204635,4.0,2.095310390018161,1.6881920392775545
A dim,4.0,2.420988056506873,1.4711326251747971,2.091076154899461,0.9573086476339302,0.6106466390714973,0.7225799554708604,1.0888062804091423,1.7999425366070396,2.5929939131874318,2.0796002880960405,2.4472095635832156
A dim,4.0,2.3011902167504914,1.4507981304595916,2.185198374450596,1.1838642701842557,0.4206210403761385,0.5231886103771305,0.7890011235981373,1.7642937761923836,2.8062737333857264,1.8264534545692497,2.0164359537336223
A dim,4.0,2.215198697267575,1.4796755096446066,2.355129264789541,1.2669670727528743,0.311747533726022,0.3890386712069689,0.564392493628158,1.7897952374791595,3.0301193348091022,1.7984755566882291,2.057660259202052
