label,C ,C#,D ,D#,E ,F ,F#,G ,G#,A ,A#,B 
A# Maj,0.562666417,1.19816133,1.400976472,0.782021446,0.869823651,1.571158402,0.988903534,0.30859581,0.422647483,2.481954495,4,2.051803727
A# Maj,0.478798014,1.119160705,1.407235401,0.699319231,0.83674448,1.571873622,0.955394413,0.261329282,0.313145984,2.400857893,4,2.010065557
A# Maj,0.380047038,0.922728612,1.241185917,0.614199779,0.842505587,1.53214665,0.882203599,0.274899896,0.249848306,2.377747072,4,1.993697717
A# Maj,0.329265507,0.776658188,1.099784821,0.569770169,0.846426082,1.528061003,0.867020544,0.282544694,0.214883485,2.390975249,4,1.935059043
A# Maj,0.309178094,0.674065143,1.046631606,0.56263001,0.848281069,1.526703853,0.86291569,0.278582523,0.207982406,2.390005955,4,1.93824819
A# Maj,0.31108505,0.674117149,1.062823276,0.583564721,0.870176842,1.560941067,0.835932614,0.281965006,0.196549705,2.39418217,4,1.962295636
A# Maj,0.298665327,0.724059035,1.115611642,0.590265936,0.897038904,1.611368239,0.853615739,0.254014683,0.190255434,2.405531452,4,1.923903023
A# Maj,0.313017938,0.746616479,1.18901714,0.611031543,0.917497359,1.667870354,0.878807644,0.236019197,0.211138121,2.429759924,4,1.939618079
A# Maj,0.348845807,0.812735066,1.290859018,0.649891721,0.955543819,1.729143365,0.918104368,0.29045257,0.289637877,2.460018418,4,2.00884432
A# Maj,0.375312511,0.916024439,1.41020418,0.718059629,1.032802377,1.770763566,0.986927377,0.385021489,0.428758878,2.488013684,4,2.060975737
A# Maj,0.402569159,1.002033081,1.57939163,0.845256302,1.127654471,1.816576572,1.122678088,0.505619389,0.682422197,2.424495596,4,2.277913324
A# Maj,0.551596515,1.16546455,1.796002638,1.086063785,1.205084948,1.833517007,1.385227928,0.786884499,1.147303937,2.128462763,4,2.779998253
A# Maj,0.91955507,1.098540735,1.296508171,0.802559884,1.170948464,1.786978649,1.237837106,0.853588778,1.112856576,3.192381412,3.65392573,2.110919154
A# Maj,0.770817056,1.117887633,1.330887612,0.751995833,1.13519293,1.791313789,1.089991353,0.54346174,0.668464646,2.826817428,4,2.11905258
A# Maj,0.561402095,1.029490648,1.238763229,0.680705951,1.14890786,1.816127197,0.980810159,0.361312482,0.39192733,2.564344255,4,1.953485905
A# Maj,0.43964828,0.873579919,1.08105503,0.585466668,1.194185494,1.903146531,1.011413871,0.316707267,0.294653924,2.489973809,4,1.923831723
A# Maj,0.434214515,0.720700915,0.952081422,0.533953457,1.255274435,1.986974243,1.043023414,0.316959794,0.243822346,2.45535441,4,1.95304706
A# Maj,0.411404872,0.642045306,0.882368501,0.502991928,1.334612362,2.143880355,1.109704268,0.312375132,0.21246137,2.436508151,4,1.962954863
A# Maj,0.403201143,0.556115507,0.816184308,0.48054648,1.368258471,2.247555326,1.140424028,0.295499914,0.21250432,2.441226671,4,1.956435543
A# Maj,0.42291009,0.521879206,0.781602309,0.491577839,1.411655772,2.350135964,1.155528562,0.252139424,0.20805811,2.446373327,4,1.974959569
A# Maj,0.426579798,0.540980786,0.812237242,0.51077924,1.45602648,2.482595264,1.242156543,0.250072674,0.21933967,2.452245232,4,2.001516963
A# Maj,0.437729788,0.556263172,0.855560042,0.533537189,1.477062949,2.560561545,1.315777065,0.2887206,0.273004325,2.470304364,4,2.008453464
A# Maj,0.510264578,0.646119421,0.930890373,0.576188614,1.517308089,2.660677301,1.38889188,0.333895475,0.379937202,2.522719124,4,2.114025279
A# Maj,0.648038467,0.793220842,1.069537201,0.640614291,1.595555719,2.83589827,1.556611252,0.451586192,0.562778399,2.633345384,4,2.331409878
A# Maj,0.941709927,1.007508757,1.293185993,0.704613121,1.745362503,3.032658876,1.855726662,0.705397201,0.923731474,2.77276968,4,2.565319021
A# Maj,1.348164608,1.454625548,1.585596644,0.939230073,1.807963243,3.132435549,2.270662835,1.060026439,1.290163188,2.808582208,4,3.0005371
